sep=\t
Module Resource Usage Distribution Estimates
Generated at: May 01, 2024 13:07:59

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        ADDs	        LUTs	      RAMs	 DSP/MULTs
  +trigger_tu:trigger_unit(WIDTH=32'b01,PIPE=1)             	       1(1)	       0(0)	       3(3)	     0(0)	     0(0)	
  +genblk2.global_capture_inst:trigger_unit(WIDTH=32'b01,PIPE=1,TRIGGER_IF_MASK_ZERO=1)	       1(1)	       0(0)	       1(1)	     0(0)	     0(0)	
  +la_biu_inst:la_biu(CAPTURE_WIDTH=32'b0110000,DATA_DEPTH=2048,CAPTURE_CONTROL=1)	    209(79)	      55(0)	    155(68)	    25(0)	     0(0)	
   +fifo_with_read_inst:fifo_with_read(DATA_WIDTH=32'b0110001,ADDR_WIDTH=11)	   130(108)	     55(55)	     87(54)	    25(0)	     0(0)	
    +transcode_write_addr:fifo_address_trancode_unit(TOTAL_ADDR_WIDTH=11,CELL_ADDR_WIDTH=12)	     11(11)	       0(0)	     11(11)	     0(0)	     0(0)	
    +transcode_read_addr:fifo_address_trancode_unit(TOTAL_ADDR_WIDTH=11,CELL_ADDR_WIDTH=12)	     11(11)	       0(0)	     22(22)	     0(0)	     0(0)	
    +simple_dual_port_ram_inst:edb_simple_dual_port_ram(DATA_WIDTH=32'b0110001,ADDR_WIDTH=11,RAM_INIT_FILE="")	       0(0)	       0(0)	       0(0)	   25(25)	     0(0)	
 +la5:edb_la_top_renamed_due_excessive_length_6             	   751(529)	     99(41)	   881(606)	     6(0)	     0(0)	
  +axi_crc_i:edb_adbg_crc32                                 	     32(32)	       0(0)	     56(56)	     0(0)	     0(0)	
  +GEN_PROBE[0].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       1(1)	       0(0)	       1(1)	     0(0)	     0(0)	
  +GEN_PROBE[0].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       7(7)	       0(0)	     12(12)	     0(0)	     0(0)	
  +GEN_PROBE[1].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01000,PIPE=1)	     19(19)	       0(0)	     27(27)	     0(0)	     0(0)	
  +GEN_PROBE[1].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01000,PIPE=1)	     19(19)	       0(0)	     26(26)	     0(0)	     0(0)	
  +GEN_PROBE[2].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       1(1)	       0(0)	       2(2)	     0(0)	     0(0)	
  +GEN_PROBE[2].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       8(8)	       0(0)	     12(12)	     0(0)	     0(0)	
  +trigger_tu:trigger_unit(WIDTH=32'b011,PIPE=1)            	       1(1)	       0(0)	       3(3)	     0(0)	     0(0)	
  +genblk2.global_capture_inst:trigger_unit(WIDTH=32'b011,PIPE=1,TRIGGER_IF_MASK_ZERO=1)	       1(1)	       0(0)	       1(1)	     0(0)	     0(0)	
  +la_biu_inst:la_biu(CAPTURE_WIDTH=32'b01010,DATA_DEPTH=2048,CAPTURE_CONTROL=1)	    133(41)	      58(0)	    135(54)	     6(0)	     0(0)	
   +fifo_with_read_inst:fifo_with_read(DATA_WIDTH=32'b01011,ADDR_WIDTH=11)	     92(70)	     58(58)	     81(48)	     6(0)	     0(0)	
    +transcode_write_addr:fifo_address_trancode_unit(TOTAL_ADDR_WIDTH=11,CELL_ADDR_WIDTH=12)	     11(11)	       0(0)	     11(11)	     0(0)	     0(0)	
    +transcode_read_addr:fifo_address_trancode_unit(TOTAL_ADDR_WIDTH=11,CELL_ADDR_WIDTH=12)	     11(11)	       0(0)	     22(22)	     0(0)	     0(0)	
    +simple_dual_port_ram_inst:edb_simple_dual_port_ram(DATA_WIDTH=32'b01011,ADDR_WIDTH=11,RAM_INIT_FILE="")	       0(0)	       0(0)	       0(0)	     6(6)	     0(0)	
 +la6:edb_la_top_renamed_due_excessive_length_7             	   606(448)	     99(41)	   766(561)	     1(0)	     0(0)	
  +axi_crc_i:edb_adbg_crc32                                 	     32(32)	       0(0)	     54(54)	     0(0)	     0(0)	
  +GEN_PROBE[0].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       1(1)	       0(0)	       1(1)	     0(0)	     0(0)	
  +GEN_PROBE[0].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       8(8)	       0(0)	     11(11)	     0(0)	     0(0)	
  +trigger_tu:trigger_unit(WIDTH=32'b01,PIPE=1)             	       1(1)	       0(0)	       5(5)	     0(0)	     0(0)	
  +genblk2.global_capture_inst:trigger_unit(WIDTH=32'b01,PIPE=1,TRIGGER_IF_MASK_ZERO=1)	       1(1)	       0(0)	       1(1)	     0(0)	     0(0)	
  +la_biu_inst:la_biu(CAPTURE_WIDTH=32'b01,DATA_DEPTH=2048,CAPTURE_CONTROL=1)	    115(32)	      58(0)	    133(46)	     1(0)	     0(0)	
   +fifo_with_read_inst:fifo_with_read(DATA_WIDTH=32'b010,ADDR_WIDTH=11)	     83(61)	     58(58)	     87(54)	     1(0)	     0(0)	
    +transcode_write_addr:fifo_address_trancode_unit(TOTAL_ADDR_WIDTH=11,CELL_ADDR_WIDTH=12)	     11(11)	       0(0)	     11(11)	     0(0)	     0(0)	
    +transcode_read_addr:fifo_address_trancode_unit(TOTAL_ADDR_WIDTH=11,CELL_ADDR_WIDTH=12)	     11(11)	       0(0)	     22(22)	     0(0)	     0(0)	
    +simple_dual_port_ram_inst:edb_simple_dual_port_ram(DATA_WIDTH=32'b010,ADDR_WIDTH=11,RAM_INIT_FILE="")	       0(0)	       0(0)	       0(0)	     1(1)	     0(0)	
 +debug_hub_inst:debug_hub                                  	     86(86)	       0(0)	   145(145)	     0(0)	     0(0)	
